REALPROP,FSASSET,FSSSI,FSNELDER,TANF_IND,FSUSIZE,FSEARN,FSWAGES,RAWNET,FSSLTDE2,FSSTDDE2,FSTOTDED,FSNONCIT,FSSLTDED,WRK_POOR,LIQRESOR,RAWERND,TPOV,FSGRINC,HWGT,FSERNDED,FSTOTDE2,CERTHHSZ,FSERNDE2,FSNETINC,FSDIS,FSGA,SHELDED,FSTANF,FSUNEARN,CAT_ELIG,VEHICLEA,FSVEHAST
0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,579.0,0.0,417.0,0.0,0.0,0.0,0.0,0.0,747.4949387192787,0.0,0.0,5.0,0.0,0.0,0.0,0.0,417.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0,2.0,516.0,516.0,278.0,114.0,201.0,351.0,0.0,114.0,1.0,0.0,103.0,57.0,630.0,796.6865540457782,103.0,351.0,2.0,154.0,279.0,0.0,0.0,115.0,114.0,114.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,97.0,0.0,134.0,134.0,0.0,0.0,0.0,0.0,0.0,28.0,231.0,743.1708434696594,0.0,134.0,1.0,0.0,97.0,0.0,231.0,0.0,0.0,231.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0,2.0,916.0,916.0,573.0,163.0,201.0,652.0,0.0,163.0,1.0,0.0,183.0,111.0,1226.0,892.3187288676908,183.0,652.0,2.0,274.0,574.0,0.0,0.0,164.0,310.0,310.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,551.0,0.0,417.0,0.0,0.0,0.0,0.0,0.0,705.4012962642042,0.0,0.0,2.0,0.0,0.0,0.0,0.0,417.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,2.0,1015.0,1015.0,678.0,0.0,134.0,337.0,0.0,0.0,1.0,0.0,203.0,92.0,1015.0,926.0073359137072,203.0,337.0,2.0,203.0,678.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,97.0,0.0,134.0,134.0,0.0,0.0,0.0,0.0,0.0,28.0,231.0,743.1708434696594,0.0,134.0,1.0,0.0,97.0,0.0,231.0,0.0,0.0,231.0,1.0,1.0,0.0
0.0,0.0,427.0,1.0,0.0,1.0,0.0,0.0,380.0,114.0,201.0,248.0,0.0,114.0,0.0,0.0,0.0,77.0,628.0,835.5428305209961,0.0,248.0,1.0,0.0,380.0,0.0,0.0,114.0,0.0,628.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,255.0,134.0,456.0,0.0,322.0,0.0,0.0,0.0,28.0,389.0,704.5805438707989,0.0,389.0,3.0,0.0,0.0,0.0,0.0,322.0,389.0,389.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,308.0,52.0,191.0,191.0,0.0,52.0,0.0,0.0,0.0,30.0,499.0,818.9530929645381,0.0,191.0,4.0,0.0,308.0,1.0,0.0,52.0,0.0,499.0,0.0,1.0,0.0
